learning_path,module,sub_module,context,duration_in_minutes,user_feedback
"Data Storyteller, Full Path Finisher",Data Visualization,Data Viz Process,"This presentation outlines a four‑stage workflow for creating professional dashboards: Sketch → Wireframe → Mockup → Prototype. Each step is tied to a set of underlying design factors such as user needs, structure, information hierarchy, context, message clarity, consistency and the data‑ink ratio.

Sketch: A rough exploration of ideas, layouts and key content directions.
Wireframe: A structured but design‑neutral layout that tests navigational logic, content placement and usability. It focuses on user experience and structural clarity.
Mockup: A more polished representation defining visual design (colors, fonts, layout details). It fixes the “look and feel” and is typically shared with stakeholders for alignment.
Prototype: A functional version where interactivity, real data connections and user flows are finalized.

The deck stresses that structure and comprehension come before aesthetics. Wireframes prevent wasted development effort by validating feasibility early. Mockups ensure stakeholder alignment before technical build begins. Prototypes ensure usability and narrative flow with real data.
Through this structured process, dashboards become the result of intentional design, anchored in user needs rather than ad‑hoc visual choices.the data storyteller learning path is good for anyone that wants to start visualize data or insights and for people that want to use powerBI",5,"[""No detailed feedback""]"
"Data Storyteller, Full Path Finisher",Data Visualization,Classroom - Data Viz Fundamentals,"This hands-on trainer-led session is designed to show participants the basics for data visualization - what makes a good visual vs a bad one, how to craft user stories for our stakeholders and understand their needs for visuals",120,"[""No detailed feedback""]"
"Data Storyteller, Full Path Finisher",Data Visualization,Classroom - PowerBI,"This hands-on trainer-led session is designed to show users how to create their own PowerBI reports using real cch data from loading data, creating a data model, visuals creation and dashboard design through dax queries, filters and slicers.",240,"[""No detailed feedback""]"
"Analytics Project Runner, Full Path Finisher",Data Projects,Intro to Data Science,"The presentation introduces the fundamentals of data science, describing it as an interdisciplinary field that combines mathematics, statistics and computer science to extract insights from data. Because it draws on many methods and serves varied purposes, definitions of data science often differ, but the core objective remains consistent: using data to understand patterns, support decisions and create value. The module emphasizes that data science is widely applicable across business domains, from sales forecasting and customer segmentation to operational optimization and evaluating marketing effectiveness. These applications can reduce costs, improve planning and drive profitability.
Two primary approaches to developing data‑driven use cases are presented. The conceptual approach begins with a business question, develops an analytical concept and then identifies the required data. It ensures strong alignment with business value but relies on data availability. The tech‑driven approach starts from existing data, exploring what insights can be generated. This may uncover unexpected patterns, though business impact is not always guaranteed.
Examples of data science use cases include process optimization through centralized data infrastructure, developing new products and services using customer behavior analysis, improving productivity with automated risk assessment, enabling decision support via dashboards and reducing costs through fraud detection.
The module closes by emphasizing that definitions matter less than the practical benefits and that data science offers significant potential—and enjoyment—for those who engage with it. the analytics project runner path is good, but not mandatory for novices and  for people interested in scrum, agile, project methodologies",10,"[""No detailed feedback""]"
"Analytics Project Runner, Full Path Finisher",Data Projects,Life-cycle of a Data Science Project,"The presentation introduces the data science project life cycle and highlights why the process is iterative. It outlines the key steps commonly followed in data science work: identifying or reviewing a business case, defining relevant KPIs, gathering or complementing data, implementing and optimizing a model, deploying it into production and evaluating its performance. Although multiple steps are listed, the module focuses mainly on the early stages, stressing the importance of clear problem definition before any technical work begins.
The slides emphasize common challenges in starting data science initiatives. Organizations often attempt to “do AI” without a clear understanding of applicability or business value, leading to misalignment between managers and data scientists. An example dialogue illustrates how communication gaps arise: managers may not understand what data science can or cannot achieve, while data scientists may lack insight into organizational priorities or available data. This reinforces the need for both sides to better understand each other’s constraints.
The module also frames data science as an investment that should be evaluated similarly to entering a new market. Use cases should be assessed based on expected benefits (monetary impact, service improvements, employee satisfaction), costs (development and maintenance) and probability of success. Prioritization typically depends on business value, but for companies new to data science, factors like organizational acceptance and likelihood of quick wins also matter. It concludes by encouraging action, noting that starting with a smaller or less ambitious use case is preferable to not beginning at all.the analytics project runner path is good, but not mandatory for novices and  for people interested in scrum, agile, project methodologies",32,"[""No detailed feedback""]"
"Analytics Project Runner, Full Path Finisher",Data Projects,Skills & Roles,"The presentation outlines the key skills, roles and ways of working that enable successful data science projects. It begins by emphasizing that data science is a holistic, multidisciplinary field requiring a blend of analytical thinking, technical expertise and business understanding. Core skills include problem analysis, data handling, conceptual thinking, asking the right questions, programming, statistics, communication and domain knowledge. These capabilities enable individuals to translate business challenges into analytical tasks and derive insights from data.
The module then introduces the principal roles involved in data projects: business analysts, data engineers, data scientists, database administrators, technical experts and business stakeholders. Each role contributes distinct responsibilities, from understanding business processes to preparing data infrastructure or developing analytical models. The module explains in more detail the roles of business analysts—who act as interfaces between business and data teams—and data engineers, who make data accessible by retrieving, preparing and structuring it. The data scientist role focuses on applying statistical and machine learning methods, selecting appropriate models and interpreting results.
Effective collaboration is highlighted as essential. Clear communication of goals, technical requirements and results ensures alignment across teams. The presentation advocates agile project structures that empower cross‑functional teams, promote iterative collaboration and create space for uncertainty inherent in data science work. It concludes with practical reminders to apply common sense, validate data, avoid unnecessary complexity and maintain a holistic perspective throughout projects.the analytics project runner path is good, but not mandatory for novices and  for people interested in scrum, agile, project methodologies",34,"[""No detailed feedback""]"
"Analytics Project Runner, Full Path Finisher",Data Projects,Tools,"The presentation provides an overview of the main tools, technologies and resources used in data science, organized into categories that support different stages of analytical work. It begins by distinguishing between software tools, programming languages, libraries and integrated development environments (IDEs). Software tools such as KNIME, QlikView or Tableau offer ready‑made interfaces for specific tasks, particularly data visualization. Programming languages like Python and R allow users to write instructions for computers. Libraries such as NumPy and pandas provide pre‑built functionality, making complex tasks easier. IDEs and notebook environments, including Eclipse and Jupyter, support development by integrating code, documentation and execution.
The module then presents a broader view of the typical “data science toolbox,” spanning hardware (servers, clusters, GPUs), storage technologies, processing frameworks, visualization tools, programming languages and cloud platforms. It notes that the ecosystem evolves quickly and that not every tool fits every use case.
Examples of tool categories for preprocessing, modeling and evaluation are shown: pandas and NumPy for structured and unstructured data preparation, scikit‑learn and deep‑learning frameworks like TensorFlow or PyTorch for modeling, and SciPy or MATLAB for statistical evaluation and visualization.
The presentation also highlights practical considerations such as licensing restrictions, cost differences and the value of experimenting before investing heavily in specific technologies. It ends by emphasizing that while tools simplify work, understanding underlying algorithms is still essential.the analytics project runner path is good, but not mandatory for novices and  for people interested in scrum, agile, project methodologies",26,"[""No detailed feedback""]"
"Analytics Project Runner, Full Path Finisher",Data Projects,Classroom - Scrum,"This hands-on trainer-led session is designed to showcase scrum and agile methodologies through examples, group exercises and roleplay. It is vital for anyone that wants to work within the data , analytics or AI areas since all the data projects in cch are agile projects under safe methodology All non-classsroom sub_modules of data projects are a prerequite for users to be eligible for the classroom",480,"[""No detailed feedback""]"
"Generative AI, Full Path Finisher",Generative AI,Intro to Generative AI,"The module provided a comprehensive introduction to artificial intelligence, focusing on the distinctions between AI, machine learning, neural networks, and deep learning. It explained how these technologies are used to mimic human behavior, learn from data, and identify patterns. The discussion highlighted generative AI as a subset of deep learning, capable of producing new content such as text, images, audio, and video that resembles human creations. Examples of generative AI tools for each content type were shared, along with practical use cases in business, including demand forecasting and advanced analytics.
The limitations of generative AI were addressed, emphasizing that these models cannot generalize or extrapolate like humans and are only as effective as their training data and human feedback. Notable failures and risks were discussed, such as incorrect mathematical reasoning and the potential for AI to act unexpectedly if not properly supervised. The importance of responsible AI was stressed, covering ethical, legal, and governance considerations, including bias, misuse, copyright, and job market impacts. The module concluded by noting the transformative potential of AI, its ongoing evolution, and the need for robust frameworks to ensure beneficial and safe deployment in society. the generative AI module is mandatory for anyone who mentions wanting to learn about AI, GenAI, LLM, Generative AI, Agentic AI",15,"[""3 learners, rating 5.0, Nikola Vlahovic says ""great""]"
"Generative AI, Full Path Finisher",Generative AI,GenAI in Practice,"This eLearning module provides a technical overview and practical demonstration of large language models (LLMs), focusing on their architecture, applications, and integration into business processes. It begins with an introduction to LLMs, explaining their foundation in deep learning, particularly transformer architectures, and their ability to process and generate human-like text. The module highlights various LLMs developed by leading organizations and emphasizes the importance of understanding API documentation and security considerations when using public versus private endpoints.
Practical examples are presented, showcasing how LLMs can be used for translation, sentiment analysis, topic identification, named entity recognition, summarization, and text search. Each use case demonstrates the importance of prompt engineering, parameter tuning (such as temperature and token limits), and the necessity of human validation to ensure accuracy and mitigate issues like model hallucination.
The module also introduces a proof-of-concept chatbot designed for master data management within an enterprise, illustrating how generative AI can support different user personas by providing quick, context-specific answers and linking to source documentation. The chatbot is positioned as a supplementary tool to enhance efficiency, not as a replacement for human expertise. Future enhancements are planned to expand documentation coverage and tailor responses to user roles. The session concludes by emphasizing the ongoing need for human oversight and continuous learning in AI-powered solutions. The submodule is now quite outdated and should not be preferentially shown to users - only as a package deal for the full module.the generative AI module is mandatory for anyone who mentions wanting to learn about AI, GenAI, LLM, Generative AI, Agentic AI",40,"[""3 learners, rating 5.0, Nikola Vlahovic says ""great""]"
"Generative AI, Full Path Finisher",Generative AI,About Prompt Literacy,"The presentation introduces a four‑part training series focused on prompt engineering and generative AI. It outlines the course structure, which includes an introduction to the nature of prompt engineering, core techniques for optimizing large language model outputs, risks and pitfalls, and methods for applying prompt engineering to multimodal content creation. The slides position this training as a continuation of the “Introduction to Generative AI” course in the Data & Analytics Academy, aiming to expand learners’ capabilities in practical AI usage. The session emphasizes the growing importance of generative AI applications and their expanding influence across work environments. The material highlights how prompt engineering enables users to control, refine, and better align AI output with business needs. It also stresses a practical learning approach, combining theoretical explanations with applied demonstrations in tools such as ChatGPT. The overarching message is that prompt engineering is becoming an essential skill for improving the relevance, accuracy, and efficiency of AI‑generated content across different business functions.the generative AI module is mandatory for anyone who mentions wanting to learn about AI, GenAI, LLM, Generative AI, Agentic AI",3,"[""3 learners, rating 5.0, Nikola Vlahovic says ""great""]"
"Generative AI, Full Path Finisher",Generative AI,Intro  to Prompt Engineering,"This presentation introduces the foundations of prompt engineering and its relevance to generative AI applications. It explains the rapid adoption of large language models and why prompt design has become a key capability for achieving useful outputs. The slides explore widespread business use cases such as contract analysis, patent research, knowledge management, and content creation, illustrating the versatility of LLMs. A core framework is presented for adapting a model to specific tasks by manipulating two dimensions: context (the information provided to the model) and model behaviour (instructions or role‑based guidance). Prompt engineering is highlighted as an accessible approach that affects both dimensions without requiring model retraining. The presentation defines prompt engineering as deliberately crafting prompts to guide model outputs and explains that LLMs function through text completion, making prompt clarity vital. Foundational techniques such as designing precise prompts and using “act as” instructions are demonstrated. The section concludes by establishing these strategies as essential for effective interaction with generative AI systems and prepares learners for more advanced methods in later modules.the generative AI module is mandatory for anyone who mentions wanting to learn about AI, GenAI, LLM, Generative AI, Agentic AI",15,"[""3 learners, rating 5.0, Nikola Vlahovic says ""great""]"
"Generative AI, Full Path Finisher",Generative AI,Prompt Engineering Techniques,"This module presents practical prompt engineering techniques that help tailor language model outputs more effectively. After a reminder of how LLM customization relies on context and behavioural instructions, the presentation focuses on concrete ways to refine prompts. It demonstrates methods such as defining output length, which enables the user to constrain verbosity and ensure the response fits intended use cases. Another technique involves adjusting style—asking the model to write in a specific tone, persona, or professional voice. This reinforces how “act as” strategies influence structure and clarity. The slides also illustrate prompts that request pros‑and‑cons reasoning, showing how structured instructions can yield more analytical outputs. Across these examples, the module emphasizes that small prompt variations significantly affect results and that effective prompting requires iterative testing. The content encourages users to think about end‑user needs, desired formats, and business context when constructing prompts. Overall, the presentation builds upon basic principles to introduce more nuanced strategies for shaping LLM behaviour.the generative AI module is mandatory for anyone who mentions wanting to learn about AI, GenAI, LLM, Generative AI, Agentic AI",18,"[""3 learners, rating 5.0, Nikola Vlahovic says ""great""]"
"Generative AI, Full Path Finisher",Generative AI,Pitfalls in Prompting,"This section addresses key risks and limitations associated with LLMs and how prompt engineering can help mitigate them. The presentation begins by highlighting that prompt engineering is inherently iterative—users must write, test, and refine prompts to achieve reliable outcomes. It outlines common model failures, such as producing incorrect facts, misunderstanding logical order, or being overly influenced by misleading input. Real examples illustrate how LLMs may hallucinate references, provide fabricated information, or generate unverifiable claims. The module compares outputs across different model versions to demonstrate how model improvements reduce, but do not eliminate, such issues. The slides emphasize the importance of controlling hallucinations by adding instructions that require the model to express uncertainty or avoid inventing details. They also explore influenceability, illustrating how wording can unintentionally bias the model’s output. Through these examples, the presentation highlights the need for critical evaluation of AI‑generated content and the importance of designing prompts that enforce accuracy, verification and transparency. Overall, the module teaches users to anticipate model weaknesses and apply prompt patterns that minimize misinterpretation and factual errorsthe generative AI module is mandatory for anyone who mentions wanting to learn about AI, GenAI, LLM, Generative AI, Agentic AI",35,"[""3 learners, rating 5.0, Nikola Vlahovic says ""great""]"
"Generative AI, Full Path Finisher",Generative AI,Prompt for Content Creation,"This module explores prompt engineering techniques across multimodal content creation, including images, audio, video, and storytelling. The slides illustrate how commands such as multi‑prompting, blending and style instructions can be used to generate or modify images using tools like Midjourney or Stable Diffusion. Examples show how image generators learn stylistic patterns and reproduce them in new contexts. The presentation highlights how similar techniques can unwittingly produce deepfakes, emphasizing the ethical risks associated with generative visual content. In storytelling, the module introduces methods for maintaining consistent characters across scenes, structuring narratives through system prompts, and dividing stories into segments for improved coherence. The content then expands to audio and video generation tools, explaining how generative AI can synthesize sound, music and voice and how challenges such as temporal coherence still persist. The slides reference tools like ElevenLabs and Runway, demonstrating how multimodal AI expands creative possibilities but also introduces new complexity. Overall, the presentation shows how prompt engineering principles extend beyond text, enabling structured, controlled generation across multiple content types.the generative AI module is mandatory for anyone who mentions wanting to learn about AI, GenAI, LLM, Generative AI, Agentic AI",25,"[""3 learners, rating 5.0, Nikola Vlahovic says ""great""]"
"Generative AI, Full Path Finisher",Generative AI,Prompt Engineering Conclusion,"The final module concludes the training by summarizing key insights across the prompt engineering curriculum. It reiterates that techniques such as chain‑of‑thought prompting and few‑shot examples can significantly improve the quality of model outputs. The presentation emphasizes that generative AI is a powerful tool for content production but also carries inherent risks, including hallucinations, misuse and the creation of deceptive content such as deepfakes. The module stresses that prompt engineering remains one of the most accessible and cost‑effective methods for optimizing LLM behaviour, allowing users to enhance relevance, reduce errors and improve output structure without technical model modifications. The session encourages ongoing practice and refinement of prompting skills, reinforcing that thoughtful prompt construction drives more controlled, predictable and responsible AI usage.the generative AI module is mandatory for anyone who mentions wanting to learn about AI, GenAI, LLM, Generative AI, Agentic AI",3,"[""3 learners, rating 5.0, Nikola Vlahovic says ""great""]"
